# ----------------------------------------------------------------------------
#  1 / 4 Surzhikov_Polari_3_Lish-odna-Zvezda-Tom-2.I1AHbg.540959.fb2.zip
# ----------------------------------------------------------------------------
 1     30.961 | Роман Евгеньевич Суржиков      | Лишь одна Звезда Том 2
 2      5.072 | Роман Евгеньевич Суржиков      | Лишь одна Звезда Том 1
 3      2.711 | Роман Евгеньевич Суржиков      | Без помощи вашей
 4      2.318 | Роман Евгеньевич Суржиков      | Кукла на троне
 5      0.592 | Ольга Громыко                  | Кому в навьем царстве жить хорошо
 6      0.588 | Джордж Мартин                  | Межевой Рыцарь
 7      0.581 | Ольга Громыко                  | О бедном Кощее замолвите слово
 8      0.574 | Алексей Юрьевич Пехов          | Пожиратель душ
 9      0.542 | Сергей Садов                   | Чужая война
10      0.443 | Александр Сергеевич Пушкин     | Евгений Онегин
11      0.412 | Алексей Юрьевич Пехов          | Змейка
12      0.411 | Иван Алексеевич Бунин          | Господин из Сан Франциско
13       0.41 | Александр Трифонович Твардовский | Василий Тёркин
14      0.399 | Джордж Мартин                  | Таинственный Рыцарь
15      0.386 | Антуан де Сент Экзюпери        | Маленький Принц
16      0.375 | Николай Васильевич Гоголь      | Ревизор
17      0.373 | Александр Николаевич Островский | Гроза
18      0.361 | Ольга Владимировна Голотвина   | Заложники пиратского адмирала
19      0.359 | Александр Исаевич Солженицын   | Матрёнин двор
20      0.354 | Алексей Юрьевич Пехов          | Начинается вьюга
# ----------------------------------------------------------------------------
#  2 / 4 Surzhikov_Polari_4_Kukla-na-trone._4o2wQ.529466.fb2.zip
# ----------------------------------------------------------------------------
 1     27.841 | Роман Евгеньевич Суржиков      | Кукла на троне
 2      4.608 | Роман Евгеньевич Суржиков      | Лишь одна Звезда Том 2
 3      3.027 | Роман Евгеньевич Суржиков      | Лишь одна Звезда Том 1
 4      2.107 | Роман Евгеньевич Суржиков      | Без помощи вашей
 5      0.595 | Ольга Громыко                  | Кому в навьем царстве жить хорошо
 6      0.528 | Ольга Громыко                  | О бедном Кощее замолвите слово
 7      0.491 | Алексей Юрьевич Пехов          | Змейка
 8      0.481 | Алексей Юрьевич Пехов          | Пожиратель душ
 9      0.458 | Александр Сергеевич Пушкин     | Евгений Онегин
10       0.45 | Джордж Мартин                  | Межевой Рыцарь
11      0.404 | Николай Алексеевич Некрасов    | Кому на Руси жить хорошо
12      0.395 | Александр Исаевич Солженицын   | Матрёнин двор
13      0.393 | Иван Алексеевич Бунин          | Господин из Сан Франциско
14       0.37 | Елена Звездная                 | Урок первый Не проклинай своего директора
15      0.364 | Александр Николаевич Островский | Гроза
16      0.364 | Антуан де Сент Экзюпери        | Маленький Принц
17      0.357 | Ольга Громыко                  | The Witcher задание Ужасная незнакомка
18      0.356 | Джордж Мартин                  | Таинственный Рыцарь
19      0.354 | Сергей Садов                   | Чужая война
20      0.347 | Александр Трифонович Твардовский | Василий Тёркин
# ----------------------------------------------------------------------------
#  3 / 4 Surzhikov_Polari_2_Lish-odna-Zvezda-Tom-1.uDyYmw.480267.fb2.zip
# ----------------------------------------------------------------------------
 1     26.912 | Роман Евгеньевич Суржиков      | Лишь одна Звезда Том 1
 2      5.089 | Роман Евгеньевич Суржиков      | Лишь одна Звезда Том 2
 3      4.132 | Роман Евгеньевич Суржиков      | Без помощи вашей
 4      1.732 | Роман Евгеньевич Суржиков      | Кукла на троне
 5      0.878 | Джордж Мартин                  | Межевой Рыцарь
 6      0.604 | Ольга Громыко                  | Кому в навьем царстве жить хорошо
 7       0.59 | Джордж Мартин                  | Таинственный Рыцарь
 8      0.583 | Сергей Садов                   | Чужая война
 9      0.551 | Ольга Громыко                  | О бедном Кощее замолвите слово
10      0.539 | Алексей Юрьевич Пехов          | Пожиратель душ
11       0.48 | Алексей Юрьевич Пехов          | Змейка
12      0.476 | Александр Сергеевич Пушкин     | Евгений Онегин
13      0.458 | Александр Николаевич Островский | Гроза
14      0.428 | Сергей Лукьяненко              | Холодные берега
15      0.405 | Елена Звездная                 | Урок первый Не проклинай своего директора
16        0.4 | Александр Исаевич Солженицын   | Матрёнин двор
17      0.395 | Джордж Мартин                  | Присяжный рыцарь
18      0.389 | Николай Алексеевич Некрасов    | Кому на Руси жить хорошо
19      0.388 | Иван Алексеевич Бунин          | Господин из Сан Франциско
20      0.385 | Николай Васильевич Гоголь      | Ревизор
# ----------------------------------------------------------------------------
