# ----------------------------------------------------------------------------
#  1 / 215 Printsessa_Garmonii.fb2
# ----------------------------------------------------------------------------
 1     44.325 | Серокрылый                     | Принцесса Гармонии
 2      0.681 | TopT                           | Понь бледный
 3      0.451 | Mister Karter                  | Пересечение миров
 4       0.44 | T 80U                          | Эквестрия 84
 5      0.349 | defklo                         | Fallout Equestria Frozen Shores
 6      0.343 | BlaadwinDufo                   | Девочка и Королева
 7      0.327 | MaitreSerge                    | Окно в Эквестрию
 8      0.325 | В облаках пушистых лапки       | Город на цепи
 9      0.324 | FudzySparkle                   | Посланник в Эквестрии
10      0.291 | shadowiq                       | Новое начало
11      0.289 | Genosse_Mauser                 | Путь к миру
12      0.281 | Дарий                          | Война трех знамен
13      0.262 | Dim                            | Planescape сказка о леди и рыцаре
14      0.247 | В облаках пушистых лапки       | Fallout Equestria Soldiers Of The Dark Ages
15      0.245 | Isaac                          | Оттенки красного
16      0.239 | Дрэкэнг_В_В                    | Обман
17      0.236 | kasket                         | ЧМ Повседневность
18      0.233 | DarkKnight                     | Солнце в рюкзаке
19      0.232 | Avrelia                        | Родные земли
20      0.232 | Dozornui                       | FO E Схватка в Разломе
# ----------------------------------------------------------------------------
#  2 / 215 Chyornaya_metel_.fb2
# ----------------------------------------------------------------------------
 1     53.695 | chelovekbeznika                | Чёрная метель
 2      0.845 | shadowiq                       | Новое начало
 3      0.526 | Acco                           | Единая Эквестрия
 4      0.481 | TROVER                         | Математика разума
 5      0.434 | В облаках пушистых лапки       | Город на цепи
 6      0.413 | Dor 3                          | Флаттершай в мэры
 7      0.403 | Reальный пониSkuльптор         | Брони скульптор реальности
 8      0.206 | Хризолит                       | Эпоха полночных кошмаров
 9      0.202 | kasket                         | ЧМ Повседневность
10      0.201 | Ksavir                         | Звёздные сети
11      0.197 | Техноягуар                     | Фоллаут Эквестрия Лунные Тени
12      0.192 | Золотой камень                 | В две нитки
13      0.192 | RusStarik                      | Добро пожаловать и до свидания
14      0.185 | Artes Septim                   | Брешь миров
15      0.179 | Hamuro                         | История сталкера в Fo E История I
16      0.174 | FobosShadow                    | Вознесение
17      0.173 | Eriol                          | Властелин Колец Содружество это магия
18      0.172 | Inok 9                         | Огненные крылья
19      0.171 | TopT                           | Понь бледный
20      0.163 | lividus                        | Сегодня они проснулись не в себе
# ----------------------------------------------------------------------------
#  3 / 215 Planescape_skazka_o_priklychentsakh.fb2
# ----------------------------------------------------------------------------
 1     36.036 | Dim                            | Planescape сказка о приключенцах
 2      3.599 | Dim                            | Planescape сказка о леди и рыцаре
 3      2.461 | Dim                            | Planescape сказка о планарном отпуске
 4      1.939 | Dim                            | Planescape сказка о Бестолочи
 5      1.833 | Dim                            | Planescape сказка о тернистом пути на вершину
 6      0.402 | lfrag17                        | DOOM Эквестрия Том 1 Железный коготь
 7      0.237 | Dim                            | Сказка о том как умирают города государства
 8      0.237 | Dim                            | Сказка о пути к Истине
 9       0.23 | axsel_1995                     | Затмение II Пламенное сердце
10      0.228 | VIM                            | Влекомые роком
11      0.211 | Dim                            | Сказка о павших божествах
12      0.203 | Дарий                          | Война трех знамен
13      0.201 | niklaykin                      | Извилистый путь
14      0.195 | Disen                          | Время любви
15      0.173 | Золотой камень                 | Сборник омегаверс драбблов
